datetimes,used_power
2018/04/09,7.81
2018/04/08,7.84
2018/04/07,9.48
2018/04/06,8.61
2018/04/05,8.31
2018/04/04,8.1
2018/04/03,6.59
2018/04/02,0.0
2018/04/02,6.59
2018/03/28,16.81
2018/03/26,9.06
2018/03/25,9.76
2018/03/24,10.26
2018/03/23,9.03
2018/03/22,10.26
2018/03/21,10.15
2018/03/20,9.57
2018/03/19,9.93
2018/03/18,11.22
2018/03/17,10.2
2018/03/16,10.58
2018/03/15,1.91
2018/03/14,8.94
2018/03/13,14.34
2018/03/12,15.78
2018/03/11,16.72
2018/03/10,18.53
2018/03/09,15.27
2018/03/08,19.33
2018/03/07,15.87
2018/03/06,21.49
2018/03/05,15.2
2018/03/04,18.68
2018/03/03,12.97
2018/03/02,17.27
2018/03/01,13.14
2018/02/28,18.3
2018/02/27,15.66
2018/02/26,1.57
2018/02/25,1.07
2018/02/24,0.0
2018/02/23,0.0
2018/02/22,0.0
2018/02/21,0.0
2018/02/20,0.0
2018/02/19,0.0
2018/02/18,0.0
2018/02/17,0.0
2018/02/16,0.0
2018/02/15,0.0
2018/02/14,0.0
2018/02/13,0.0
2018/02/12,0.0
2018/02/11,0.0
2018/02/10,0.0
2018/02/09,0.0
2018/02/08,0.0
2018/02/07,1.13
2018/02/06,0.0
2018/02/05,0.0
2018/02/04,0.0
2018/02/03,0.0
2018/02/02,0.0
2018/02/01,0.0
2018/01/31,0.0
2018/01/30,0.0
2018/01/29,0.0
2018/01/28,0.0
2018/01/27,0.0
2018/01/26,0.0
2018/01/25,0.0
2018/01/24,0.0
2018/01/23,0.0
2018/01/22,0.0
2018/01/21,0.0
2018/01/20,0.0
2018/01/19,0.7
2018/01/18,7.89
2018/01/17,21.57
2018/01/16,17.85
2018/01/15,20.51
2018/01/14,19.76
2018/01/13,23.87
2018/01/12,19.09
2018/01/11,20.38
2018/01/10,18.04
2018/01/09,17.4
2018/01/08,18.55
2018/01/07,21.54
2018/01/06,16.85
2018/01/05,20.36
2018/01/04,16.66
2018/01/03,20.23
2018/01/02,14.64
2018/01/01,18.0
2017/12/31,15.35
2017/12/30,15.92
2017/12/29,14.22
2017/12/28,19.79
2017/12/27,9.21
2017/12/26,17.47
2017/12/25,13.82
2017/12/24,29.72
2017/12/22,17.53
2017/12/21,17.5
2017/12/20,19.75
2017/12/19,16.54
2017/12/18,19.84
2017/12/17,18.22
2017/12/16,17.12
2017/12/15,15.5
2017/12/14,6.59
2017/12/12,18.27
2017/12/11,22.37
2017/12/10,18.53
2017/12/09,6.59
2017/12/07,23.7
2017/12/06,19.12
2017/12/05,15.59
2017/12/04,0.0
2017/12/03,0.0
2017/12/02,0.0
2017/12/01,0.0
2017/11/30,0.0
2017/11/29,0.0
2017/11/28,0.0
2017/11/27,0.0
2017/11/26,0.18
2017/11/25,4.29
2017/11/24,3.84
2017/11/23,3.98
2017/11/22,4.24
2017/11/21,2.68
2017/11/20,2.55
2017/11/19,2.76
2017/11/18,2.69
2017/11/17,2.76
2017/11/16,2.61
2017/11/15,2.76
2017/11/14,2.58
2017/11/13,2.48
2017/11/12,2.29
2017/11/11,2.61
2017/11/10,2.57
2017/11/09,2.35
2017/11/08,2.33
2017/11/07,2.65
2017/11/06,2.62
2017/11/05,2.64
2017/11/04,2.24
2017/11/03,2.55
2017/11/02,2.55
2017/11/01,2.61
2017/10/31,2.43
2017/10/30,2.75
2017/10/29,2.46
2017/10/28,2.4
2017/10/27,2.63
2017/10/26,2.75
