fangjian_value,sum,mean,median,var,min,max
70,92.70000000000003,11.587500000000004,5.54,131.78285000000002,5.54,34.46
71,119.35,14.91875,10.294999999999998,154.58764107142858,4.14,32.28
72,214.65999999999997,26.832499999999996,27.615000000000002,5.645849999999998,23.32,29.58
73,159.86,19.9825,19.939999999999998,59.96776428571428,6.33,34.28
74,85.03000000000002,10.628750000000002,4.09,146.62149821428565,4.09,30.58
75,31.81,3.97625,2.92,4.722112500000001,1.07,6.78
76,12.36,1.545,1.625,0.03825714285714286,1.23,1.72
77,13.089999999999998,1.6362499999999998,1.6400000000000001,0.02279821428571429,1.4,1.79
78,0.0,0.0,0.0,0.0,0.0,0.0
79,16.92,2.115,2.1950000000000003,0.037657142857142854,1.8,2.27
80,0.0,0.0,0.0,0.0,0.0,0.0
81,28.81,3.60125,0.0,103.75201249999998,0.0,28.81
82,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0
87,20.31,2.53875,2.5700000000000003,0.27718392857142854,1.61,3.24
88,0.060000000000000005,0.007500000000000001,0.0,0.0003071428571428571,0.0,0.05
89,24.380000000000003,3.0475000000000003,2.98,0.43716428571428534,2.33,4.35
90,12.49,1.56125,1.5,0.05295535714285714,1.31,1.96
91,13.99,1.74875,1.755,0.11349821428571424,1.16,2.17
92,25.349999999999998,3.1687499999999997,3.36,0.2419267857142857,2.37,3.67
93,25.68,3.21,3.18,0.0695428571428571,2.85,3.63
94,16.61,2.07625,1.98,0.13031250000000003,1.57,2.66
95,25.62,3.2025,3.185,0.4665642857142855,2.17,4.01
96,17.74,2.2175,2.3899999999999997,0.1269928571428571,1.54,2.5
97,24.71,3.08875,2.955,0.8966696428571426,1.78,4.43
98,3.84,0.48,0.51,0.028885714285714282,0.27,0.77
99,17.79,2.22375,2.115,0.14408392857142863,1.73,2.74
100,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.6,0.075,0.07500000000000001,2.8571428571428547e-05,0.07,0.08
104,0.13,0.01625,0.0,0.0021125000000000007,0.0,0.13
105,18.83,2.35375,2.4,0.15934107142857148,1.65,2.91
106,15.89,1.98625,2.01,0.08762678571428563,1.57,2.31
107,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0
109,11.66,1.4575,1.4849999999999999,0.1003357142857143,1.06,1.97
110,18.19,2.27375,2.29,0.039855357142857144,1.97,2.51
111,12.299999999999999,1.5374999999999999,1.62,0.06447857142857141,0.93,1.72
112,8.55,1.06875,0.98,0.07601250000000002,0.71,1.51
113,19.09,2.38625,2.225,0.6879982142857146,1.68,4.23
114,0.0,0.0,0.0,0.0,0.0,0.0
115,17.04,2.13,1.9449999999999998,0.14051428571428573,1.73,2.74
116,0.0,0.0,0.0,0.0,0.0,0.0
117,17.72,2.215,2.04,0.3172857142857142,1.52,3.28
118,37.18,4.6475,4.404999999999999,0.47093571428571446,4.03,6.13
119,10.82,1.3525,1.375,0.10873571428571426,0.89,1.77
120,10.86,1.3575,1.4,0.10510714285714286,0.9,1.88
121,37.49,4.68625,4.66,3.047855357142857,1.29,6.98
122,15.67,1.95875,1.96,0.04344107142857144,1.71,2.34
123,0.5,0.0625,0.0,0.029849999999999995,0.0,0.49
124,6.540000000000001,0.8175000000000001,0.8600000000000001,0.2926214285714286,0.08,1.52
125,10.530000000000001,1.3162500000000001,1.415,0.24631249999999996,0.67,2.05
126,31.86,3.9825,4.03,6.084164285714286,1.27,7.13
127,34.02,4.2525,4.3,1.3388785714285716,2.52,5.6
